idcar_200m;i_est_200;lcog_geo;noeud_delegue;lon_mid;lat_mid;ind;men;men_pauv;men_1ind;men_5ind;men_prop;men_fmp;ind_snv;men_surf;men_coll;men_mais;log_av45;log_45_70;log_70_90;log_ap90;log_inc;log_soc;ind_0_3;ind_4_5;ind_6_10;ind_11_17;ind_18_24;ind_25_39;ind_40_54;ind_55_64;ind_65_79;ind_80p;ind_inc
CRS3035RES200mN2728200E3609000;0;37186;-1;0.5721815;47.259773;49;21;3;3;0;18;5;1193821.5;2365;0;21;1;5;6;9;0;0;1;0;1.5;9.5;2;3;13;8;11;0;0
CRS3035RES200mN2728200E3609200;0;37186;-1;0.574805;47.260002;57.5;24;5;8;3;15;5;1484610.5;2617;4;20;18;1;1;4;0;0;2;3;7;2.5;9;10;13;5;6;0;0
CRS3035RES200mN2728200E3609400;1;3718637006;-1;0.5774286;47.26023;7;2.5;0;0.5;0.1;2.5;0.3;190251.2;321.3;0;2.5;1.5;0.1;0.1;0.8;0;0;0.8;0.1;0.5;0.8;0.3;1.8;1.1;1.1;0.4;0.1;0
CRS3035RES200mN2728200E3609600;1;3700637186;-1;0.58005214;47.26046;2;0.7;0;0.2;0;0.7;0.1;54357.5;91.8;0;0.7;0.4;0;0.1;0.2;0;0;0.2;0;0.2;0.2;0.1;0.5;0.3;0.3;0.1;0.1;0
CRS3035RES200mN2728200E3610800;1;37006;-1;0.5957939;47.26183;7;3.2;0.3;1;0.1;2.9;0.1;185543.9;353;0;3.2;2;0.1;0.7;0.4;0;0;0.3;0.1;0.2;0.6;0.4;0.9;1.6;1.4;1;0.5;0
CRS3035RES200mN2728200E3611000;1;37006;-1;0.59841764;47.26206;3;1.4;0.1;0.4;0;1.3;0.1;79518.8;151.3;0;1.4;0.9;0.1;0.3;0.1;0;0;0.1;0;0.1;0.3;0.2;0.4;0.7;0.6;0.4;0.2;0
CRS3035RES200mN2728200E3611400;1;37006;-1;0.6036651;47.262512;4;1.8;0.2;0.5;0;1.7;0.1;106025.1;201.7;0;1.8;1.1;0.1;0.4;0.2;0;0;0.2;0.1;0.1;0.4;0.2;0.5;0.9;0.8;0.5;0.3;0
CRS3035RES200mN2728200E3611600;1;37006;-1;0.60628885;47.26274;3;1.4;0.1;0.4;0;1.3;0.1;79518.8;151.3;0;1.4;0.9;0.1;0.3;0.1;0;0;0.1;0;0.1;0.3;0.2;0.4;0.7;0.6;0.4;0.2;0
CRS3035RES200mN2728200E3611800;1;37006;-1;0.60891265;47.26297;2;0.9;0.1;0.3;0;0.8;0;53012.5;100.9;0;0.9;0.6;0;0.2;0.1;0;0;0.1;0;0.1;0.2;0.1;0.2;0.4;0.4;0.3;0.2;0
CRS3035RES200mN2728200E3612800;1;3700637159;-1;0.62203187;47.264107;6;2.5;0.1;0.8;0.4;2.1;0.2;166853.5;271.2;0;2.5;1.7;0.1;0.5;0.2;0;0;0.2;0.1;0.2;0.6;0.1;1.6;1.1;1.1;0.7;0.3;0
CRS3035RES200mN2728200E3613000;1;3715937006;-1;0.6246558;47.264336;29;9.1;0;1.1;0.9;8.7;0.7;834582.8;1113.8;0;9.1;2.4;0.2;0.9;5.6;0;0;1.1;0.7;2.7;4.5;2.2;3.1;8.9;3.1;1.4;1.1;0.2
CRS3035RES200mN2728200E3613200;1;37159;-1;0.62727976;47.26456;6;1.9;0;0.2;0.2;1.8;0.1;172672.3;230.4;0;1.9;0.5;0;0.2;1.2;0;0;0.2;0.1;0.6;0.9;0.5;0.6;1.9;0.7;0.3;0.2;0
CRS3035RES200mN2728200E3614200;1;37159;-1;0.6403997;47.265697;10;4.2;0;0.4;0.2;3.2;0.4;280796.5;463.3;0.9;3.3;1.6;0.2;1.9;0.5;0;0;0.7;0;0.2;0.7;0.3;1.8;2.3;1.2;2.5;0.3;0
CRS3035RES200mN2728200E3614600;1;37159;-1;0.6456479;47.26615;6;2.5;0;0.2;0.1;1.9;0.2;168477.9;278;0.5;2;0.9;0.1;1.2;0.3;0;0;0.4;0;0.1;0.4;0.2;1.1;1.4;0.7;1.5;0.2;0
CRS3035RES200mN2728200E3616400;1;37159;-1;0.6692655;47.268192;4;1.4;0;0.2;0.1;1.4;0;107074.3;130.8;0;1.4;0.1;0;0.6;0.7;0;0;0;0;0.4;0.6;0.2;0.6;0.9;0.6;0.4;0.3;0
CRS3035RES200mN2728200E3618800;1;37250;-1;0.7007583;47.2709;2;0.7;0.1;0.1;0.1;0.6;0.1;47409.6;89.8;0;0.7;0.2;0;0.2;0.3;0;0;0.1;0.1;0.1;0.3;0.1;0.3;0.5;0.2;0.1;0.2;0
CRS3035RES200mN2728200E3619600;1;3725037154;-1;0.7112565;47.271805;5;1.8;0.3;0.3;0.2;1.5;0.2;118524;224.4;0.1;1.7;0.6;0;0.4;0.8;0;0;0.3;0.2;0.3;0.8;0.3;0.7;1.2;0.5;0.3;0.4;0
CRS3035RES200mN2728200E3620400;1;3726637154;-1;0.7217551;47.272705;3;1.1;0;0.2;0.1;0.9;0.1;84970.1;123.3;0;1.1;0.2;0.1;0.5;0.3;0;0;0.2;0;0.1;0.3;0.3;0.4;0.7;0.5;0.4;0.1;0
CRS3035RES200mN2728200E3621400;0;37266;-1;0.7348788;47.27383;46;15;1;0;2;10;0;1297480.7;1724;0;15;5;0;0;10;0;0;4;0;2;6;3;9;12;5;5;0;0
CRS3035RES200mN2728200E3621600;0;37266;-1;0.7375036;47.274055;29;11;0;1;1;11;0;879489.3;1202;0;11;0;0;4;7;0;0;1;0;4;3;0;6;7;2;6;0;0
CRS3035RES200mN2728200E3623000;1;37266;-1;0.7558778;47.275623;2;0.7;0;0.1;0.1;0.6;0;50113;65.8;0;0.7;0.1;0;0.4;0.2;0;0;0.1;0;0.2;0.1;0.1;0.3;0.6;0.2;0.3;0.1;0
