idcar_200m;i_est_200;lcog_geo;noeud_delegue;lon_mid;lat_mid;ind;men;men_pauv;men_1ind;men_5ind;men_prop;men_fmp;ind_snv;men_surf;men_coll;men_mais;log_av45;log_45_70;log_70_90;log_ap90;log_inc;log_soc;ind_0_3;ind_4_5;ind_6_10;ind_11_17;ind_18_24;ind_25_39;ind_40_54;ind_55_64;ind_65_79;ind_80p;ind_inc
CRS3035RES200mN2728200E3626600;0;37104;214;0.80313027;47.27965;44;18;1;3;1;17;0;1178391.3;2057;0;18;0;0;18;0;0;0;0;0;2;5;4;5;8;8;11;1;0
CRS3035RES200mN2728200E3626800;1;37104;288;0.80575556;47.279873;4;1.5;0;0.1;0;1.5;0;117278.9;204;0;1.5;0.3;0;0.8;0.4;0;0;0.3;0.3;0.4;0.3;0;0.5;0.8;0.5;0.6;0.3;0
CRS3035RES200mN2728200E3627000;1;37104;224;0.80838096;47.280098;4;1.8;0;0.4;0;1.7;0;110425.2;225.7;0;1.8;0;0.1;1.2;0.5;0;0;0.1;0.1;0.3;0.2;0.1;0.7;0.6;0.6;0.9;0.4;0
CRS3035RES200mN2728200E3627400;1;37104;558;0.8136317;47.280544;3;1.3;0;0.3;0;1.3;0;82818.9;169.2;0;1.3;0;0.1;0.8;0.4;0;0;0.1;0.1;0.2;0.1;0.1;0.5;0.5;0.4;0.7;0.3;0
CRS3035RES200mN2728200E3627800;1;37104;405;0.8188825;47.280987;2;0.9;0;0.2;0;0.9;0;55212.6;112.8;0;0.9;0;0.1;0.6;0.2;0;0;0;0.1;0.1;0.1;0.1;0.3;0.3;0.3;0.5;0.2;0
CRS3035RES200mN2728200E3628000;1;37104;513;0.821508;47.28121;26.5;12;1;2;0;8.5;1;689509.4;1255.5;0;12;2.5;0.5;5.5;3.5;0;0;1;0.7;0;0.3;4;6;6.5;3.5;3;1.5;0
CRS3035RES200mN2728200E3628200;1;37104;556;0.82413346;47.281433;2;0.9;0.1;0.2;0;0.6;0.1;52038.4;94.8;0;0.9;0.2;0;0.4;0.3;0;0;0.1;0.1;0;0;0.3;0.4;0.5;0.3;0.2;0.1;0
CRS3035RES200mN2728200E3628400;1;3726337104;20;0.826759;47.28166;9;4.1;0.3;0.7;0;2.9;0.3;234173;426.4;0;4.1;0.8;0.2;1.9;1.2;0;0;0.3;0.3;0;0.1;1.4;2;2.2;1.2;1;0.5;0
CRS3035RES200mN2728200E3629000;1;37263;795;0.83463556;47.282322;5;2;0.2;0.5;0.1;1.4;0.2;109436.7;175.5;0.3;1.7;0.6;0.1;0.5;0.8;0;0;0.2;0.1;0.5;0.2;0.6;1.3;0.7;0.5;0.9;0;0
CRS3035RES200mN2728200E3629200;1;37263;157;0.83726114;47.282547;28.5;11.7;1.4;2.7;0.7;8.2;1.4;623788.9;1000.6;2.1;9.6;3.4;0.7;2.8;4.8;0;0;1;0.3;3.1;1.4;3.4;7.6;4.1;2.8;4.8;0;0
CRS3035RES200mN2728400E3599600;1;37067;25;0.44857082;47.25074;11;5.9;0.5;1.9;0;4.7;0.5;269491.9;581.8;0;5.9;2.4;0.5;2.8;0.2;0;0;0.2;0;0;0.7;0;1.2;2.6;2.6;2.3;1.4;0
CRS3035RES200mN2728400E3600000;1;37067;503;0.45381606;47.2512;12;5.5;0.5;1.3;0.2;5.2;0.5;288771.2;543.7;0;5.5;0.1;1.3;3.1;1;0;0;0.3;0.2;0.5;0.8;0.2;1.3;2.1;1.3;3.2;2.1;0
CRS3035RES200mN2728400E3600200;0;37067;177;0.45643872;47.251434;46;26;1;11;0;13;3;1019652;2082;0;26;0;1;3;22;0;13;0;0;1;2;5;2;13;11;8;4;0
CRS3035RES200mN2728400E3600400;0;37067;180;0.4590614;47.251663;48;20;3;6;1;14;3;1028701.2;1732;0;20;6;0;8;6;0;0;1;0;5;5;4;6;7;10;7;3;0
CRS3035RES200mN2728400E3600600;0;37067;26;0.4616841;47.251896;75;23;0;5;6;20;3;1793563.1;2340;0;23;5;0;7;11;0;0;4;3;5;19;6;8;21;2;4;3;0
CRS3035RES200mN2728400E3601800;1;3706737014;450;0.47742078;47.253284;2;0.9;0.1;0.3;0;0.7;0;44215;84.6;0.1;0.8;0.4;0.2;0.2;0.1;0;0;0.1;0.1;0;0.1;0.2;0.4;0.3;0.4;0.3;0.1;0
CRS3035RES200mN2728400E3605200;1;37014;404;0.5220121;47.257202;2;1;0.2;0.4;0;0.8;0.1;49900.2;109.8;0.1;0.9;0.7;0;0;0.3;0;0;0;0;0;0.1;0.2;0.3;0.4;0.5;0.2;0.3;0
CRS3035RES200mN2728400E3606200;1;3701437205;805;0.53512836;47.25835;2;0.9;0.1;0.2;0;0.7;0;58805.9;87.5;0;0.9;0.2;0.1;0.2;0.4;0;0;0.1;0;0;0.1;0.2;0.3;0.3;0.3;0.5;0.2;0
CRS3035RES200mN2728400E3606400;1;3720537014;982;0.5377517;47.25858;4;1.8;0.2;0.5;0.1;1.4;0;117611.8;175;0;1.8;0.5;0.2;0.3;0.8;0;0;0.2;0;0.1;0.2;0.3;0.7;0.5;0.6;0.9;0.5;0
CRS3035RES200mN2728400E3608800;1;3718637205;825;0.56923306;47.26133;17;5.9;0.4;0.9;0.4;4.5;0.2;395308.5;646.6;0;5.9;1.3;0.4;1.2;3;0;0;0.6;0.2;1.5;1.9;2.1;2.6;4;2.8;1.1;0.2;0
CRS3035RES200mN2728400E3609000;1;37186;371;0.5718566;47.26156;16;5.7;0;1.2;0.3;5.7;0.6;434859.9;734.5;0;5.7;3.3;0.3;0.3;1.8;0;0;1.8;0.3;1.2;1.8;0.6;4.3;2.4;2.4;0.9;0.3;0
CRS3035RES200mN2728400E3609200;0;37186;301;0.57448024;47.261784;82;37;4;13;1;29;5;1937669.6;3463;2;35;30;1;2;3;1;0;5;3;5;4;9;18;19;11;8;0;0
CRS3035RES200mN2728400E3609400;1;3700637186;959;0.57710385;47.262012;19;6.8;0;1.4;0.4;6.8;0.7;516396.2;872.2;0;6.8;3.9;0.4;0.4;2.1;0;0;2.1;0.4;1.4;2.1;0.7;5;2.9;2.9;1.1;0.4;0
CRS3035RES200mN2728400E3609600;1;37006;682;0.57972753;47.26224;4;1.4;0;0.3;0.1;1.4;0.2;108715;183.6;0;1.4;0.8;0.1;0.1;0.4;0;0;0.4;0.1;0.3;0.5;0.1;1.1;0.6;0.6;0.2;0.1;0
CRS3035RES200mN2728400E3611000;1;37006;207;0.5980936;47.26384;22;10;0.9;3;0.2;9.2;0.4;583137.9;1109.4;0;10;6.4;0.4;2.1;1.1;0;0;0.9;0.4;0.6;1.9;1.3;2.8;4.9;4.5;3;1.7;0
CRS3035RES200mN2728400E3611200;1;37006;375;0.6007174;47.26407;9;4.1;0.3;1.2;0.1;3.8;0.2;238556.4;453.8;0;4.1;2.6;0.2;0.9;0.4;0;0;0.4;0.2;0.3;0.8;0.5;1.1;2;1.8;1.2;0.7;0
CRS3035RES200mN2728400E3611800;1;37006;662;0.608589;47.26475;6;2.7;0.2;0.8;0.1;2.5;0.1;159037.6;302.6;0;2.7;1.7;0.1;0.6;0.3;0;0;0.2;0.1;0.2;0.5;0.4;0.8;1.3;1.2;0.8;0.5;0
CRS3035RES200mN2728400E3614200;1;37159;402;0.6400771;47.267483;16;6.7;0;0.6;0.3;5.1;0.6;449274.5;741.3;1.4;5.3;2.5;0.3;3.1;0.8;0;0;1.1;0;0.3;1.1;0.6;2.8;3.6;2;3.9;0.6;0
CRS3035RES200mN2728400E3619800;0;37154;429;0.713561;47.27381;37.5;12;1;1;2;9;1;935206.1;1131;0;12;0;0;0;12;0;0;2;1;2;5.5;6;5;10;3;2;1;0
CRS3035RES200mN2728400E3620000;1;37154;242;0.71618575;47.27404;1;0.4;0;0.1;0;0.3;0;28323.4;41.1;0;0.4;0.1;0;0.2;0.1;0;0;0.1;0;0;0.1;0.1;0.1;0.3;0.2;0.1;0;0
CRS3035RES200mN2728400E3620400;1;3726637154;708;0.72143525;47.27449;7;2.5;0.1;0.4;0.2;2.1;0.2;198263.7;287.7;0;2.5;0.5;0.1;1.1;0.8;0;0;0.4;0;0.2;0.7;0.7;0.9;1.8;1.2;0.9;0.2;0
CRS3035RES200mN2728400E3620600;1;37266;754;0.72406006;47.274715;12;4.3;0.2;0.7;0.3;3.7;0.4;339880.6;493.2;0;4.3;0.8;0.2;2;1.3;0;0;0.7;0.1;0.3;1.2;1.2;1.5;3;2.1;1.6;0.3;0
CRS3035RES200mN2728400E3621400;0;37266;427;0.73455936;47.27561;33;12;0;0;0;10;1;988025.3;1481;0;12;1;0;3;8;0;0;1;1.5;1.5;4;2;2;9;5;7;0;0
CRS3035RES200mN2728400E3621600;1;37266;896;0.7371843;47.275837;20;7.2;0.3;1.2;0.5;6.1;0.7;566467.6;822;0;7.2;1.3;0.4;3.3;2.2;0;0;1.1;0.1;0.6;1.9;2;2.5;5;3.5;2.7;0.6;0
CRS3035RES200mN2728400E3622800;1;37266;981;0.75293404;47.277184;23;9.9;0;3.3;0.8;8.2;0;695503.9;1138.5;0;9.9;7.4;0.8;0;1.7;0;0;0.8;0.8;1.6;1.6;3.3;1.6;3.3;5.8;2.5;1.7;0
CRS3035RES200mN2728400E3623000;1;37266;957;0.7555591;47.27741;7;2.6;0.1;0.2;0.3;2.2;0;175395.5;230.3;0;2.6;0.2;0.1;1.4;0.9;0;0;0.4;0.1;0.6;0.3;0.4;0.9;2;0.8;1;0.5;0
CRS3035RES200mN2728400E3623600;1;37266;292;0.7634343;47.27808;2;0.7;0;0.1;0.1;0.6;0;50113;65.8;0;0.7;0.1;0;0.4;0.2;0;0;0.1;0;0.2;0.1;0.1;0.3;0.6;0.2;0.3;0.1;0
CRS3035RES200mN2728400E3625200;1;37104;436;0.78443575;47.279873;15;5.6;0.2;0.9;0.6;4.9;0.4;392094.7;734.5;0;5.6;2.7;0.6;1.5;0.8;0;0;0.5;0.1;0.7;1.6;1.5;1.5;3.4;1.8;2.6;1.3;0
CRS3035RES200mN2728400E3625400;1;37104;459;0.78706104;47.280094;7;2.6;0.1;0.4;0.3;2.3;0.2;182977.5;342.8;0;2.6;1.3;0.3;0.7;0.3;0;0;0.2;0.1;0.3;0.8;0.7;0.7;1.6;0.8;1.2;0.6;0
CRS3035RES200mN2728400E3625600;1;37104;439;0.7896863;47.28032;1;0.4;0;0.1;0;0.3;0;26139.6;49;0;0.4;0.2;0;0.1;0.1;0;0;0;0;0.1;0.1;0.1;0.1;0.2;0.1;0.2;0.1;0
CRS3035RES200mN2728400E3626200;0;37104;320;0.79756236;47.28099;24;13;1;5;0;12;0;559816.5;1216;0;13;0;0;13;0;0;0;2;0;0;1;0;4;3;0;10;4;0
CRS3035RES200mN2728400E3626400;1;37104;363;0.8001877;47.28121;17;6.2;0;0.6;0;6.2;0;498435.4;867;0;6.2;1.1;0;3.4;1.7;0;0;1.1;1.1;1.7;1.1;0;2.3;3.4;2.3;2.8;1.2;0
CRS3035RES200mN2728400E3626600;1;37104;322;0.8028131;47.281437;2;0.7;0;0.1;0;0.7;0;58639.5;102;0;0.7;0.1;0;0.4;0.2;0;0;0.1;0.1;0.2;0.1;0;0.3;0.4;0.3;0.3;0.2;0
CRS3035RES200mN2728400E3627200;0;37104;489;0.81068945;47.282104;24;11;1;3;0;10;0;594165.2;1263;0;11;2;0;4;5;0;0;0;0;0;3;0;2;9;5;2;3;0
CRS3035RES200mN2728400E3627400;0;37104;452;0.8133149;47.282326;37.5;20;1;6;0;15;1;947577.2;2173;2;18;14;0;3;3;0;0;0;1.5;2;0;0;8;3;9;12;2;0
CRS3035RES200mN2728400E3627600;1;37104;460;0.81594044;47.28255;4;1.8;0;0.4;0;1.7;0;110425.2;225.7;0;1.8;0;0.1;1.2;0.5;0;0;0.1;0.1;0.3;0.2;0.1;0.7;0.6;0.6;0.9;0.4;0
CRS3035RES200mN2728400E3627800;1;37104;784;0.81856596;47.282772;1;0.4;0;0.1;0;0.4;0;27606.3;56.4;0;0.4;0;0;0.3;0.1;0;0;0;0;0.1;0.1;0;0.2;0.2;0.1;0.2;0.1;0
CRS3035RES200mN2728400E3628400;1;3726337104;772;0.82644266;47.28344;4;1.8;0.2;0.3;0;1.3;0.2;104076.9;189.5;0;1.8;0.4;0.1;0.8;0.5;0;0;0.2;0.1;0;0;0.6;0.9;1;0.5;0.5;0.2;0
CRS3035RES200mN2728600E3600200;1;37067;845;0.45610997;47.253216;14;6.4;0.6;1.5;0.2;6.1;0.6;336899.8;634.4;0;6.4;0.2;1.5;3.6;1.1;0;0;0.4;0.2;0.6;0.9;0.2;1.5;2.4;1.5;3.8;2.5;0
CRS3035RES200mN2728600E3600400;0;37067;131;0.45873272;47.25345;68.5;32;2;13;2;24;2;1575214.6;2751;0;32;14;9;3;6;0;0;3;1;4.5;8;2;14;14;10;8;4;0
CRS3035RES200mN2728600E3600600;0;37067;263;0.4613555;47.25368;68.5;33;3;14;1;27;2;1382332.5;3104;0;33;25;5;0;3;0;0;1;2;4.5;5;4;9;15;8;13;7;0
CRS3035RES200mN2728600E3600800;0;37067;258;0.46397832;47.25391;66;29;4;12;1;17;1;1507537.5;2630;4;25;18;0;2;9;0;0;3;1;2.5;7.5;5;16;14;8;6;3;0
CRS3035RES200mN2728600E3603600;1;37014;553;0.50069994;47.25714;5;2.4;0.5;0.9;0.1;1.7;0.4;118202.8;256.8;0;2.4;1;0.6;0.5;0.3;0;0;0;0;0.2;0.4;0.6;0.3;0.9;0.7;1.2;0.7;0
CRS3035RES200mN2728600E3603800;1;37014;817;0.503323;47.257374;8;3.9;0.8;1.4;0.2;2.7;0.6;189124.5;410.9;0;3.9;1.5;1;0.8;0.6;0;0;0;0;0.4;0.6;1;0.4;1.3;1.2;1.9;1.2;0
